country,continent
Afghanistan,Asia
Albania,Europe
Algeria,Africa
American Samoa,Oceania
Andorra,Europe
Angola,Africa
Argentina,South America
Australia,Oceania
Austria,Europe
Bahamas,North America
Bahrain,Asia
Bangladesh,Asia
Barbados,North America
Belgium,Europe
Bermuda,North America
Bhutan,Asia
Bolivia,South America
Bosnia and Herzegovina,Europe
Botswana,Africa
Brazil,South America
Belize,North America
Solomon Islands,Oceania
Bulgaria,Europe
Myanmar,Asia
Burundi,Africa
Belarus,Europe
Cambodia,Asia
Cameroon,Africa
Canada,North America
Cape Verde,Africa
Cayman Islands,North America
Central African Republic,Africa
Sri Lanka,Asia
Chad,Africa
Chile,South America
China,Asia
Taiwan,Asia
Christmas Island,Asia
Colombia,South America
Comoros,Africa
Mayotte,Africa
Cook Islands,Oceania
Costa Rica,North America
Croatia,Europe
Cuba,North America
Czech Republic,Europe
Benin,Africa
Denmark,Europe
Dominica,North America
Dominican Republic,North America
Ecuador,South America
El Salvador,North America
Equatorial Guinea,Africa
Ethiopia,Africa
Eritrea,Africa
Estonia,Europe
Faroe Islands,Europe
Fiji,Oceania
Finland,Europe
France,Europe
French Guiana,South America
French Polynesia,Oceania
Djibouti,Africa
Gabon,Africa
Gambia,Africa
Germany,Europe
Ghana,Africa
Kiribati,Oceania
Greece,Europe
Greenland,North America
Grenada,North America
Guadeloupe,North America
Guam,Oceania
Guatemala,North America
Guinea,Africa
Guyana,South America
Haiti,North America
Honduras,North America
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Ireland,Europe
Israel,Asia
Italy,Europe
Jamaica,North America
Japan,Asia
Jordan,Asia
Kenya,Africa
Kuwait,Asia
Lebanon,Asia
Lesotho,Africa
Latvia,Europe
Liberia,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Martinique,North America
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Monaco,Europe
Mongolia,Asia
Moldova,Europe
Montenegro,Europe
Montserrat,North America
Morocco,Africa
Mozambique,Africa
Oman,Asia
Namibia,Africa
Nauru,Oceania
Nepal,Asia
Netherlands,Europe
Aruba,North America
Bonaire,North America
New Caledonia,Oceania
Vanuatu,Oceania
New Zealand,Oceania
Nicaragua,North America
Niger,Africa
Nigeria,Africa
Niue,Oceania
Norfolk Island,Oceania
Norway,Europe
Northern Mariana Islands,Oceania
Micronesia,Oceania
Marshall Islands,Oceania
Palau,Oceania
Pakistan,Asia
Panama,North America
Papua New Guinea,Oceania
Paraguay,South America
Peru,South America
Philippines,Asia
Pitcairn Islands,Oceania
Poland,Europe
Portugal,Europe
Guinea-Bissau,Africa
Timor-Leste,Asia
Puerto Rico,North America
Qatar,Asia
Reunion,Africa
Romania,Europe
Rwanda,Africa
Saint Barthelemy,North America
Saint Helena,Africa
Anguilla,North America
Saint Lucia,North America
Saint Martin,North America
Saint Pierre and Miquelon,North America
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Vietnam,Asia
Slovenia,Europe
Somalia,Africa
South Africa,Africa
Zimbabwe,Africa
Spain,Europe
South Sudan,Africa
Western Sahara,Africa
Sudan,Africa
Suriname,South America
Swaziland,Africa
Sweden,Europe
Switzerland,Europe
Tajikistan,Asia
Thailand,Asia
Togo,Africa
Tonga,Oceania
United Arab Emirates,Asia
Tunisia,Africa
Turkmenistan,Asia
Turks and Caicos Islands,North America
Uganda,Africa
Ukraine,Europe
Egypt,Africa
Guernsey,Europe
Jersey,Europe
Isle of Man,Europe
Tanzania,Africa
Burkina Faso,Africa
Uruguay,South America
Uzbekistan,Asia
Venezuela,South America
Wallis and Futuna,Oceania
Samoa,Oceania
Yemen,Asia
Zambia,Africa
Azerbaijan,Asia
Armenia,Asia
Cyprus,Europe
Georgia,Europe
Kazakhstan,Asia
Turkey,Europe
Antarctica,NA
French Southern and Antarctic Lands,NA
Antigua,North America
Barbuda,North America
Brunei,Asia
Ivory Coast,Africa
Democratic Republic of the Congo,Africa
Republic of Congo,Africa
Curacao,South America
Canary Islands,Africa
Falkland Islands,South America
UK,Europe
Heard Island,NA
Cocos Islands,Asia
Chagos Archipelago,Asia
Siachen Glacier,NA
Kyrgyzstan,Asia
Nevis,North America
Saint Kitts,North America
South Korea,Asia
Kosovo,Europe
Laos,Asia
Libya,Africa
North Macedonia,Europe
Sint Eustatius,Africa
Saba,Europe
North Korea,Asia
Madeira Islands,Africa
Azores,Europe
Palestine,Asia
Russia,Europe
South Sandwich Islands,NA
South Georgia,NA
Ascension Island,Africa
Slovakia,Europe
Sint Maarten,North America
Syria,Asia
Trinidad,South America
Tobago,South America
USA,North America
Vatican,Europe
Grenadines,North America
Saint Vincent,North America
Virgin Islands,North America
